,price,total sold,condition,color,80s,90s,All Seasons,Band,Breathable,Retro,Sports
0,1800,1,3,3,0,0,0,0,0,0,0
1,1999,499,2,2,1,1,0,0,0,0,0
2,1699,237,3,2,0,0,0,0,0,0,0
3,1699,428,2,1,0,0,0,1,0,0,0
4,22000,1,1,2,0,0,0,0,0,0,0
5,1500,551,2,2,1,1,0,0,0,0,0
6,3500,1,1,1,0,1,0,0,0,0,0
7,1600,464,2,2,1,1,0,1,0,0,0
8,2297,1,1,2,0,0,0,0,0,0,0
9,6000,1,2,2,0,0,0,0,0,0,0
10,3888,130,3,3,0,0,0,0,0,0,0
11,1999,36,3,2,0,1,1,0,1,0,0
12,2386,1,3,2,1,1,0,0,1,1,1
13,4500,1,1,2,0,0,0,0,0,0,0
14,2986,42,3,1,1,1,1,0,1,0,0
15,12999,1,3,2,0,1,0,0,0,0,0
16,3490,1,1,1,0,1,1,0,0,0,0
17,7995,1,1,2,0,0,0,0,0,0,0
18,3000,1,1,1,1,0,0,0,0,0,0
19,1499,1,1,2,0,1,0,0,0,0,0
20,1599,1,2,2,0,0,0,0,0,0,0
21,12000,1,1,2,0,1,0,0,0,0,0
22,2986,499,3,1,1,1,1,0,1,0,0
23,7999,1,1,2,0,1,0,0,0,0,0
24,10000,1,1,2,0,1,0,0,0,0,0
25,1999,1,3,1,0,0,1,0,1,1,0
26,1399,1,3,3,0,0,1,0,0,0,0
27,2097,112,3,3,0,0,0,0,0,0,0
28,1699,58,2,2,1,1,0,0,0,0,0
29,1786,897,3,2,0,0,1,0,1,1,1
30,1800,1,1,1,0,1,0,0,0,0,0
31,2986,76,3,1,1,1,1,0,1,0,0
32,8499,1,1,1,0,0,0,0,0,0,0
33,1000,1,1,1,0,0,0,0,0,0,0
34,2595,1,3,2,0,0,0,1,0,0,0
35,5000,1,1,2,0,0,1,0,0,0,0
36,999,1,3,3,0,0,0,0,0,0,0
37,4985,1,1,2,0,1,1,0,0,1,0
38,1500,1,1,1,0,0,0,0,0,0,0
39,10000,1,1,2,0,0,0,0,0,0,0
40,3000,1,1,1,0,1,1,0,0,0,0
41,6500,1,1,2,0,0,0,0,0,0,0
42,150000,1,1,2,0,1,0,0,0,1,0
43,699,1,3,2,0,0,1,0,0,0,0
44,995,1,3,2,1,1,1,0,0,0,0
45,8985,1,1,1,1,1,1,0,0,0,0
46,2900,1,2,1,0,1,0,0,0,0,0
47,1899,1,3,2,0,0,0,0,0,0,0
48,999,1,3,2,0,0,0,0,0,0,0
49,1786,2351,3,2,0,0,1,0,1,1,1
50,949,48,3,3,0,0,0,0,0,0,0
51,3898,1,1,1,0,1,0,0,0,0,0
52,1795,110,3,3,0,0,1,0,1,0,0
53,1600,1,2,2,1,1,0,1,0,0,0
54,664,1,3,2,0,0,0,1,0,0,0
55,799,1,3,3,0,0,1,0,0,0,1
56,1799,1,3,2,0,0,0,0,0,0,0
57,1699,97,2,2,0,0,1,1,0,0,0
58,2900,1,2,3,0,1,0,0,0,1,0
59,1799,1,2,1,1,0,0,1,0,0,0
60,1699,1,1,2,0,0,0,0,0,0,0
61,1999,1,1,2,0,0,0,1,0,0,0
62,1699,269,2,1,1,1,0,1,0,0,0
63,12500,1,1,1,0,0,0,0,0,0,0
64,1999,1,2,1,0,0,1,0,0,0,0
65,1299,1,2,2,0,0,1,1,0,0,0
66,1499,1,3,1,0,0,1,0,0,0,0
67,1599,1,3,3,1,1,1,0,0,1,0
68,1699,1,3,2,0,0,1,0,1,0,0
69,540,2635,3,3,0,0,0,0,0,0,0
70,2695,1,3,3,0,0,0,0,0,0,0
71,2386,278,3,2,0,0,1,0,1,1,1
72,1689,1,2,2,0,0,0,1,0,0,0
73,1699,43,3,2,0,0,1,0,1,0,0
74,1999,82,3,2,0,0,0,0,0,0,0
75,1899,1,3,2,0,0,1,0,1,0,0
76,2100,1,3,3,0,0,0,0,0,0,0
77,1999,1,1,2,0,0,0,0,0,0,0
78,3000,1,1,2,1,0,0,0,0,0,0
79,1995,1,3,2,0,0,0,0,0,0,0
80,1995,1,3,2,0,0,0,0,0,0,0
81,1649,1,3,3,0,0,0,0,0,0,0
82,1699,688,3,3,0,0,0,0,0,0,0
83,2299,1,2,2,0,0,0,0,0,0,0
84,1599,1,3,2,0,0,1,0,0,0,0
85,3386,163,3,1,1,1,1,0,1,0,0
86,1595,1,3,3,0,0,0,0,0,0,0
87,1695,1,3,2,0,0,0,0,0,0,0
88,1399,1,3,2,1,0,1,0,0,0,0
89,1299,1,3,2,0,1,1,0,0,1,0
90,1999,67,2,2,0,0,0,0,0,0,0
91,1500,106,2,1,1,1,0,0,0,0,0
92,1799,1,3,2,0,0,1,0,0,1,0
93,275,1,2,2,0,0,0,0,0,0,0
94,1699,1,2,2,0,0,0,0,0,0,0
95,1786,103,3,2,0,0,1,0,1,1,1
96,3000,1,1,2,0,0,0,0,0,1,0
97,4999,1,1,1,0,1,0,0,0,0,0
98,999,1,1,2,0,0,0,0,0,0,0
99,3898,1,1,1,0,1,0,0,0,0,0
100,1886,238,3,2,0,0,1,0,1,1,1
101,899,1,3,1,0,0,1,0,0,0,0
102,1899,1,3,2,0,1,1,0,1,0,0
103,3500,1,3,2,1,1,0,0,0,0,0
104,1995,1,3,2,0,0,0,0,0,0,0
105,1590,1,3,2,0,0,1,0,0,0,0
